Name,Description,Latitude,Longitude,Instagram,Rank,City
#13 Ruffo,Tostadero y cafetería en su fábrica de Rosario. Podés almorzar mirando cómo tuestan.,-32.934665,-60.656318,https://www.instagram.com/ruffocoffee/,13,"Rosario, Santa Fe"
#14 Lab de Juju,"Laboratorio de café de especialidad en Rosario, el proyecto formativo de Juju Parera.",-32.941052,-60.655365,https://www.instagram.com/labdejuju/,14,"Rosario, Santa Fe"
#15 Parce Café Studio,"Studio de café y escucha musical en Córdoba, en Pasaje Comercio 467.",-31.408017,-64.190565,https://www.instagram.com/parcecafestudio/,15,Córdoba
#16 Standalone Coffee Lab,Coffee lab en Buenos Aires. Más laboratorio de extracciones que cafetería de paso.,-34.59941,-58.378,https://www.instagram.com/standalone.lab/,16,Buenos Aires
#17 Rita,"Café de especialidad en Armenia, Palermo Soho.",-34.590179,-58.428205,,17,Buenos Aires
#18 Casa Chacana,Cafetería de especialidad en Córdoba.,-31.370108,-64.234144,,18,Córdoba
#19 Runge,"Café de especialidad en el Parque, Rosario Centro.",-32.941869,-60.646985,,19,"Rosario, Santa Fe"
#20 Flat & White,"Barra de especialidad cerca de Retiro, sobre Cerrito.",-34.59396,-58.382988,,20,Buenos Aires
#21 Zulu Haus,"Café y pastelería de Maia Mendoza en La Lucila, Zona Norte. Entre las firmas, un tiramisú keto.",-34.497721,-58.488799,https://www.instagram.com/zulu.haus/,21,"La Lucila, Buenos Aires"
#22 Primero Café,Café de especialidad en Buenos Aires. En su bio se presentan como el 22 del ranking.,-34.590923,-58.43571,https://www.instagram.com/primerocafe.ar/,22,"Villa Crespo, Buenos Aires"
#23 Gota,Cafetería de especialidad en Rosario.,-32.941443,-60.638764,,23,"Rosario, Santa Fe"
#24 Wat Coffee,Café de especialidad en Buenos Aires.,-34.616216,-58.375982,https://www.instagram.com/wat_coffee/,24,"San Telmo, Buenos Aires"
#25 Motofeca,"Tostadores de especialidad en Paraguay 627, Retiro. También venden drip bags para armar el café sin cafetera.",-34.597466,-58.375821,https://www.instagram.com/motofeca/,25,"Retiro, Buenos Aires"
#26 Ostia,Café de especialidad en Buenos Aires.,-34.59645,-58.384981,https://www.instagram.com/ostiacafe/,26,Buenos Aires
#27 Vedra Café,Cafetería de especialidad en Buenos Aires.,-34.556554,-58.459809,,27,"Belgrano, Buenos Aires"
#28 Surry Hills,Brunch australiano y café de especialidad. Quedó 99 en The World's 100 Best Coffee Shops 2026. La bakery también es protagonista.,-34.572328,-58.43131,https://www.instagram.com/surryhillsbuenosaires/,28,"Palermo, Buenos Aires"
#29 Cora Café,"Café de especialidad en el hall del Kavanagh, sobre Florida, en Retiro.",-34.59535,-58.37455,,29,"Retiro, Buenos Aires"
#30 The Coffee Store (Martínez),"Cafetería de especialidad en Martínez, Zona Norte.",-34.487527,-58.496691,,30,"Martínez, Buenos Aires"
#31 Onno,"Café de especialidad en Almagro, sobre Río de Janeiro.",-34.603443,-58.432645,,31,Buenos Aires
#32 Café Delirante,"Café de especialidad en Bariloche, sobre Avenida de los Pioneros.",-41.130348,-71.369329,,32,Río Negro
#33 Lharmonie,"Cafetería sobre Libertador, en Palermo Botánico.",-34.576576,-58.412396,,33,Buenos Aires
#34 Café Heraldo,Café de especialidad en Mar del Plata.,-38.004779,-57.556285,,34,"Mar del Plata, Buenos Aires"
#35 Malcriada,"Café de especialidad en Palermo Hollywood, sobre Bonpland.",-34.586307,-58.440674,,35,Buenos Aires
#36 Punto Café,"Barra de especialidad en Monserrat, sobre Perú.",-34.615005,-58.37437,,36,Buenos Aires
#37 Cofi Jaus,Café de especialidad en Buenos Aires.,-34.584302,-58.434491,,37,Buenos Aires
#38 Café Registrado,Cadena de especialidad con varios locales. El ranking nacional los puso 38.,-34.580134,-58.437698,https://www.instagram.com/caferegistrado/,38,Buenos Aires
#39 Manifiesto,Café de especialidad en Buenos Aires.,-34.567102,-58.445444,,39,Buenos Aires
#40 Lab Tostadores,Tostadero y barra de especialidad en Buenos Aires.,-34.586024,-58.436859,https://www.instagram.com/labtostadores/,40,"Palermo Hollywood, Buenos Aires"
#41 Patio (City Bell),Cafetería de especialidad en City Bell.,-34.873458,-58.049124,,41,"City Bell, Buenos Aires"
#42 Sosa Café,Café de especialidad en Buenos Aires.,-34.572543,-58.447075,,42,"Colegiales, Buenos Aires"
#43 Fomento Café,Café de especialidad en Buenos Aires.,-34.563134,-58.46592,,43,"Belgrano, Buenos Aires"
#44 Green Mug,Café de especialidad en Mar del Plata. Tienen dos locales: Castelli 1281 y San Luis 3031.,-38.015674,-57.541327,https://www.instagram.com/greenmug.coffee/,44,"Mar del Plata, Buenos Aires"
#45 Hobby Café,Coffee roasters en Buenos Aires.,-34.592711,-58.429712,https://www.instagram.com/hobbycafe.ba/,45,"Palermo, Buenos Aires"
#46 Canillita,"Puesto de diarios convertido en café de especialidad, en Junín y Paraguay, Recoleta.",-34.598251,-58.397455,,46,"Recoleta, Buenos Aires"
#47 Krake,Cafetería de especialidad en Córdoba.,-31.425109,-64.192633,,47,Córdoba
#48 Serafin,Café de especialidad en Corrientes.,-27.464914,-58.836432,,48,Corrientes
#49 Traje Café,Café de especialidad en Buenos Aires.,-34.608836,-58.432458,,49,"Caballito, Buenos Aires"
#50 Arto,"La primera cafetería de especialidad de Rosario, abierta desde 2018.",-32.939659,-60.648506,https://www.instagram.com/artocafe/,50,"Rosario, Santa Fe"
#51 Caffé Del Popolo,Cafetería de especialidad en Córdoba.,-31.42598,-64.186201,,51,Córdoba
#52 Café Puzzi,"Café de especialidad en Wilde, Zona Sur.",-34.700893,-58.314559,,52,"Wilde, Buenos Aires"
#53 Cafetino (General Pico),"Café de especialidad en General Pico, La Pampa.",-35.650399,-63.768127,https://www.instagram.com/cafetinogeneralpico/,53,"General Pico, La Pampa"
#54 Kaizen,Cafetería de especialidad en Jujuy.,-24.191457,-65.305157,,54,Jujuy
#55 Ninina,"Bakery artesanal y café de especialidad. En Buenos Aires están en Gorriti, Borges y El Solar.",-34.569344,-58.477222,https://www.instagram.com/ninina.arg/,55,Buenos Aires
#56 Cobin,Café de especialidad en Buenos Aires.,-34.606241,-58.41976,,56,Buenos Aires
#57 Doc Café,Café de especialidad en Buenos Aires.,-34.59822,-58.434303,,57,Buenos Aires
#58 The Tiny Coffee: Refugio,Refugio de café de especialidad en Neuquén.,-38.948388,-68.054513,,58,Neuquén
#59 Kuta,Cafetería de especialidad en Olivos.,-34.507992,-58.488677,,59,"Olivos, Buenos Aires"
#60 Paisa High Mountain Coffee,"Café de altura patagónico, en Santa Cruz.",-49.330487,-72.889883,,60,"El Chaltén, Santa Cruz"
#61 Uno Dos Café,Café de especialidad en Buenos Aires.,-34.544713,-58.706882,,61,"San Miguel, Buenos Aires"
#62 Shiok Coffee Roasters,Coffee roasters en Córdoba.,-31.42884,-62.086954,,62,Córdoba
#63 Plantado Café,Café de especialidad en Buenos Aires.,-34.749077,-58.406084,,63,"Lomas de Zamora, Buenos Aires"
#64 Leto,Cafetería de especialidad en Santa Fe capital.,-31.646545,-60.704573,,64,Santa Fe
#65 Café Boheme,Café de especialidad en Buenos Aires.,-34.602039,-58.383764,,65,"San Nicolás, Buenos Aires"
#66 La Nieve,Café de especialidad en Santa Cruz.,-49.330549,-72.885578,,66,Santa Cruz
#67 Christen Coffee,Cafetería de especialidad en Santa Fe.,-31.625521,-60.596821,,67,Santa Fe
#68 Birkin,Café de especialidad en Buenos Aires.,-34.580484,-58.413194,,68,Buenos Aires
#69 Daniel Bakery,Panadería y café en Buenos Aires.,-34.594094,-58.414625,,69,Buenos Aires
#70 Salma Café,Café de especialidad en Buenos Aires.,-34.597875,-58.440084,,70,"Villa Crespo, Buenos Aires"
#71 Hacienda Coffee Company,Coffee company en Buenos Aires.,-34.588104,-58.425066,,71,"Palermo, Buenos Aires"
#72 Merci Coffee Dealer,Coffee dealer en Buenos Aires. Más tostadero que salón clásico.,-38.268509,-57.840584,,72,"Miramar, Buenos Aires"
#73 Bulgaro,Café de especialidad en Buenos Aires.,-34.588634,-58.413952,,73,"Palermo, Buenos Aires"
#74 Mr. Coffee,Cafetería de especialidad en Córdoba.,-31.422144,-64.500284,,74,"Villa Carlos Paz, Córdoba"
#75 Café LSA,Café de especialidad en Salta.,-24.78697,-65.429547,,75,Salta
#76 Passage Du Cafe,Cafetería de especialidad en Córdoba.,-31.418737,-64.191115,,76,Córdoba
#77 Almendro,"Café de especialidad en Resistencia, Chaco.",-27.449247,-58.979334,,77,"Resistencia, Chaco"
#78 Fran Coffee Makers,Café de especialidad en Mendoza.,-32.886426,-68.849564,,78,Mendoza
#79 Feka,Cafetería de especialidad en Rosario.,-32.922264,-60.685221,,79,"Rosario, Santa Fe"
#80 Bicho Café,Café de especialidad en Buenos Aires.,-34.570253,-58.444361,,80,"Palermo, Buenos Aires"
#81 Báltica Café,Café de especialidad en Buenos Aires.,-34.551213,-58.457125,,81,"Núñez, Buenos Aires"
#82 Ciro Café (Palermo),"La sede palermitana de Ciro. Misma inspiración italiana, otro barrio.",-34.585717,-58.4254,,82,"Palermo, Buenos Aires"
#83 Sinsa Café,"Café de especialidad en Guido 2402, Recoleta, a una cuadra del cementerio.",-34.586285,-58.395162,https://www.instagram.com/sinsacafe/,83,"Recoleta, Buenos Aires"
#84 Gabs Café,Café de especialidad en Buenos Aires.,-34.598338,-58.406664,,84,"Balvanera, Buenos Aires"
#85 Lon Philosophy,Café de especialidad en Buenos Aires.,-34.608386,-58.380561,,85,Buenos Aires
#86 Voltri,Café de especialidad en Buenos Aires.,-34.725765,-58.257025,,86,"Quilmes, Buenos Aires"
#87 Cobre Café,Café de especialidad en Buenos Aires.,-34.59585,-58.436951,,87,Buenos Aires
#88 Caffetos,Café de especialidad en Buenos Aires.,-34.816887,-58.463797,,88,"Monte Grande, Buenos Aires"
#89 Ethiopia Café,"Cafetería de especialidad en Córdoba, con foco en orígenes.",-31.424969,-64.192408,,89,Córdoba
#90 Estación Café Salta,Café de especialidad en Salta.,-24.788323,-65.416977,,90,Salta
#91 Juana House,Café de especialidad en San Juan.,-31.53324,-68.563127,,91,San Juan
#92 Korto Coffee House,Coffee house en Buenos Aires.,-34.599041,-58.513653,,92,"Devoto, Buenos Aires"
#93 Rocco Cafe,Café de especialidad en Santa Cruz.,-50.342552,-72.265531,,93,Santa Cruz
#94 Ficus,Cafetería de especialidad en Santa Fe.,-31.6333,-60.7,,94,Santa Fe
#95 Café Copado,Café de especialidad en Mendoza.,-32.883235,-68.858776,,95,Mendoza
#96 Garden Coffee,Cafetería de especialidad en Santa Fe.,-31.629311,-60.774791,,96,"Santo Tomé, Santa Fe"
#97 Aste Café Con Pasión,Café de especialidad en Córdoba.,-31.427538,-64.18598,,97,"Nueva Córdoba, Córdoba"
#98 Casa Pina,Café de especialidad en Buenos Aires.,-34.581935,-58.42534,,98,Buenos Aires
#99 Florian,Café de especialidad en Buenos Aires.,-34.5875,-58.425,,99,Buenos Aires
#100 Habitat,Café de especialidad en Mendoza.,-32.896787,-68.866509,,100,Mendoza
